duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
5013,icmp,private,S0,78889,82156,0,0,1,11,5,1,2,0,0,7,3,1,5,0,0,0,144,104,0.96,0.73,0.25,0.79,0.23,0.13,0.73,91,206,0.22,0.96,0.39,0.41,0.6,0.58,0.69,0.23,normal
8616,icmp,http,RSTR,77351,17370,0,2,0,8,0,1,5,0,1,7,3,1,3,0,0,1,473,319,0.46,0.36,0.71,0.81,0.8,0.67,0.49,144,247,0.56,0.09,0.7,0.2,1.0,0.23,0.55,0.19,nmap
1931,udp,private,S0,41349,96721,0,3,3,14,1,0,10,0,1,0,4,3,5,0,1,0,402,429,0.14,0.69,0.72,0.26,0.58,0.47,0.96,67,102,0.24,0.62,0.09,0.95,0.78,0.14,0.02,0.16,neptune
7941,tcp,eco_i,REJ,20311,94415,0,1,3,9,0,1,2,1,1,9,4,4,1,0,0,1,310,170,0.38,0.5,0.07,0.04,0.54,0.2,0.28,159,224,0.99,0.25,0.32,0.85,0.02,0.74,0.96,0.88,nmap
661,icmp,smtp,REJ,95177,31781,0,2,0,13,1,1,5,1,0,6,5,2,0,0,0,1,449,423,0.14,0.09,0.52,0.16,0.3,0.1,0.63,178,119,0.99,0.85,0.16,0.53,0.75,0.17,0.84,0.32,smurf
439,tcp,domain_u,SF,74336,99043,0,2,3,19,3,0,9,1,1,6,1,1,2,0,0,0,457,261,0.03,0.58,0.53,0.02,0.44,0.97,0.29,21,226,0.47,0.73,0.52,0.19,0.57,0.84,0.08,0.51,satan
3428,icmp,private,SF,92576,82042,1,0,3,6,2,1,9,1,1,2,1,4,1,0,1,0,58,400,0.36,0.96,0.01,0.35,0.53,0.05,0.56,9,11,0.68,0.17,0.51,0.54,0.6,0.02,0.9,0.29,satan
725,udp,http,SF,45730,696,0,3,3,8,5,1,5,1,0,2,1,2,4,0,1,1,383,147,0.04,0.14,0.81,0.74,0.82,0.09,0.6,27,211,0.05,0.22,0.74,0.79,0.94,0.69,0.81,0.22,warezclient
698,tcp,http,S0,6735,27032,0,3,0,8,4,1,7,1,0,2,4,2,3,0,0,0,315,267,0.85,0.72,0.39,0.07,0.71,0.18,0.98,106,237,0.94,0.27,0.05,0.92,0.75,0.96,0.5,0.31,teardrop
8357,tcp,smtp,REJ,6635,31852,0,3,3,1,1,0,10,0,0,1,4,1,3,0,0,0,376,413,0.42,0.99,0.8,0.19,0.31,0.66,0.99,116,94,0.74,0.88,0.57,0.03,0.6,0.32,0.02,0.78,nmap
7067,udp,eco_i,SH,86599,9036,0,1,2,12,0,0,3,1,0,3,3,5,1,0,0,0,441,40,0.68,0.55,0.16,0.05,0.33,0.61,0.59,30,92,0.4,0.15,0.22,0.96,0.47,0.06,0.54,0.56,nmap
3494,udp,smtp,REJ,19912,4901,1,2,3,12,3,1,7,1,1,1,1,2,3,0,0,0,368,298,0.27,0.1,0.2,0.48,0.44,0.43,0.58,101,69,0.94,0.6,0.26,0.45,0.35,0.57,1.0,1.0,teardrop
3417,udp,ftp,REJ,54218,93144,1,2,0,0,2,0,2,1,0,4,4,2,5,0,0,1,144,403,0.17,0.53,0.92,0.64,0.31,0.97,0.43,202,160,0.81,0.12,0.61,0.61,0.52,0.31,0.83,0.16,portsweep
3672,tcp,domain_u,SF,18560,3771,1,0,0,3,3,0,10,0,1,5,0,3,0,0,1,1,69,77,0.45,0.79,0.12,0.95,0.4,0.67,0.16,193,89,0.74,0.07,0.56,0.23,0.56,0.21,0.83,0.33,nmap
1097,icmp,eco_i,SF,14488,23725,0,3,3,8,3,0,6,1,1,6,3,4,1,0,1,0,135,315,0.61,0.19,0.91,0.75,0.54,0.08,0.85,189,185,0.89,0.49,0.18,0.84,0.87,0.52,0.31,0.43,back
9792,icmp,private,SH,39995,61235,0,0,0,15,3,1,0,0,0,3,5,0,0,0,1,1,308,114,0.74,0.02,0.61,0.99,0.93,0.77,0.76,73,250,0.54,0.51,0.62,0.15,0.53,0.1,0.18,0.37,portsweep
4788,udp,eco_i,SF,72437,82746,0,0,2,13,2,1,2,1,0,5,1,2,3,0,1,0,506,51,0.89,0.25,0.79,0.76,0.79,0.89,0.97,249,25,0.65,0.17,0.66,0.2,0.12,0.59,0.2,0.3,nmap
2714,tcp,eco_i,S0,52168,36598,1,0,1,19,3,1,4,0,0,10,2,2,4,0,1,1,471,476,0.71,0.61,0.84,0.66,0.97,0.77,0.21,254,250,0.89,0.82,0.34,0.94,0.33,0.4,0.33,0.62,smurf
4461,udp,eco_i,SF,74521,58211,0,1,1,17,4,0,9,1,1,5,2,0,2,0,0,1,423,368,0.42,0.83,0.06,0.97,0.57,0.74,0.84,251,28,0.01,0.02,0.07,0.35,0.94,0.51,0.99,0.65,normal
4884,tcp,private,S0,2916,13198,1,0,0,13,0,0,4,1,1,10,0,1,2,0,0,0,439,223,0.55,0.69,0.18,0.57,0.83,0.21,0.37,114,170,0.54,0.69,0.09,0.57,0.21,0.41,0.26,0.27,nmap
563,tcp,domain_u,SH,41878,40548,0,3,0,20,2,0,10,0,0,10,0,5,3,0,0,1,94,330,0.78,0.04,0.74,0.65,0.64,0.01,0.58,60,195,0.89,0.56,0.82,0.4,0.97,0.94,0.45,0.77,teardrop
4449,tcp,ftp,SH,30503,7536,0,3,2,9,2,1,8,0,1,9,0,5,1,0,1,0,176,400,0.83,0.17,0.07,0.87,0.51,0.49,0.84,84,55,0.22,0.07,1.0,0.55,0.96,0.24,0.22,0.17,teardrop
7669,tcp,private,SH,903,19767,1,0,1,10,2,0,4,0,0,6,3,1,5,0,0,0,260,79,0.54,0.87,0.6,0.22,0.17,0.68,0.37,56,178,0.09,0.75,0.69,0.97,0.69,0.82,0.81,0.05,nmap
1476,udp,domain_u,SH,6681,50744,1,0,0,13,3,0,9,0,0,1,3,0,3,0,0,0,327,195,0.24,0.58,0.79,0.7,0.08,0.8,0.1,110,14,0.31,0.46,0.05,0.71,0.22,0.29,0.95,0.63,nmap
8860,icmp,eco_i,RSTR,30956,24883,0,1,2,13,1,1,7,0,0,0,3,4,1,0,0,1,145,375,0.7,0.99,0.81,0.93,0.02,0.29,0.52,235,80,0.55,0.7,0.68,0.78,0.77,0.05,0.08,0.56,warezclient
4615,tcp,ftp,SH,75725,56503,1,1,2,15,4,1,4,1,0,3,5,5,5,0,0,0,173,492,0.11,0.84,0.17,0.97,0.23,0.76,0.42,51,210,0.41,0.64,0.19,0.23,0.67,0.41,0.44,0.3,normal
6332,tcp,domain_u,REJ,94181,76950,0,2,0,12,0,1,6,1,0,10,0,5,3,0,1,1,463,337,0.66,0.95,0.42,0.43,0.34,0.84,0.59,137,116,0.41,0.95,0.8,0.51,0.89,0.88,0.49,0.0,back
4348,icmp,eco_i,SF,44350,23875,1,0,3,12,2,1,5,1,0,8,5,0,1,0,1,1,270,352,0.49,0.62,0.2,0.44,0.9,0.77,0.88,173,201,0.36,0.24,0.53,0.79,0.83,0.56,0.05,0.92,neptune
3766,tcp,private,SH,92548,63582,1,3,0,9,1,1,10,0,1,7,5,2,5,0,1,1,363,504,0.22,0.02,0.86,0.29,0.17,0.55,0.43,150,164,0.49,0.81,0.87,0.01,0.45,0.13,0.98,0.78,teardrop
1990,udp,smtp,SF,66041,52794,0,2,3,6,1,1,4,0,0,1,5,4,4,0,0,0,214,454,0.59,0.51,0.71,0.17,0.32,0.94,0.74,234,217,0.95,0.74,0.95,0.23,0.27,0.49,0.09,0.23,smurf
7898,icmp,ftp,S0,58375,50973,1,0,0,13,2,1,0,1,1,5,5,1,2,0,0,1,211,11,0.74,0.6,0.28,0.56,0.8,0.18,0.08,148,118,0.36,0.71,0.89,0.49,0.65,0.37,0.79,0.41,smurf
2678,tcp,domain_u,REJ,24819,48502,0,3,3,11,3,0,0,1,1,8,2,0,2,0,1,0,482,370,0.9,0.47,0.46,0.83,0.57,0.25,0.62,7,145,0.79,0.73,0.23,0.57,0.4,0.33,0.83,0.41,nmap
2144,udp,ftp,RSTR,5043,65221,0,2,3,6,3,1,6,1,0,5,2,1,5,0,1,0,58,143,0.58,0.94,0.07,0.37,0.56,0.55,0.65,215,84,0.51,0.28,0.19,0.69,0.08,0.71,0.73,0.18,back
9509,icmp,private,RSTR,86823,35894,0,2,2,18,1,0,3,0,0,10,4,5,1,0,1,0,247,149,0.7,0.46,0.42,0.1,0.07,0.82,0.05,51,212,0.56,0.18,0.63,0.93,0.33,0.32,0.78,0.03,nmap
3555,tcp,private,SF,46115,70834,1,2,0,19,5,1,4,0,0,8,3,0,4,0,0,1,469,115,0.22,0.26,0.19,0.92,0.76,0.69,0.3,152,229,0.3,0.68,0.63,0.18,0.47,0.55,0.13,0.53,ipsweep
4049,udp,eco_i,RSTR,80837,20357,0,3,3,9,1,0,6,0,1,7,4,0,5,0,1,0,178,468,0.33,0.01,0.17,0.72,0.22,0.5,0.41,235,52,0.57,0.06,0.77,0.96,0.58,0.49,0.55,0.5,neptune
5651,icmp,http,S0,76448,39122,0,1,1,3,1,1,6,1,1,0,0,2,3,0,1,0,382,194,0.78,0.69,0.02,0.53,0.78,0.86,0.14,245,12,0.51,0.46,0.21,0.58,0.05,0.56,0.22,0.68,satan
2123,icmp,ftp,SF,46215,35800,0,0,0,8,4,0,0,1,1,4,2,2,3,0,0,0,95,309,0.41,0.12,0.92,0.48,0.82,0.23,0.46,0,134,0.83,0.84,0.19,0.26,0.37,0.54,0.28,0.25,normal
6810,icmp,domain_u,SF,71543,34702,0,0,3,7,0,0,2,0,0,8,3,0,4,0,0,0,370,450,0.92,0.47,0.89,0.84,0.51,0.5,0.66,170,73,0.5,0.59,0.53,0.52,0.27,0.67,0.79,0.71,satan
